species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Endonura gracilirostris,Endonura,Neanuridae,,,predator,predator,"there is no direct information regarding the diet of *Endonura gracilirostris*. However, document discusses *Besanosaurus leptorhynchus*, which is noted to have an extremely long snout suggesting it primarily fed on small and elusive prey, feeding lower in the food web than an apex predator. This inference might not directly apply to *Endonura gracilirostris* as they are springtails, not…",33996277(medline),,,"there is no specific mention of the body length of *Endonura gracilirostris*. The term ""gracilirostris"" appears in the context of *Besanosaurus leptorhynchus* in source , referring to its elongated snout, not *Endonura*. Therefore, the body length of *Endonura gracilirostris* cannot be determined from the given sources.",33996277(medline),marine_coastal|freshwater,"*Endonura gracilirostris* (likely referring to *Steneosaurus cf. gracilirostris*) was a semiaquatic marine crocodylomorph from the Early Jurassic period . This indicates that it inhabited both terrestrial and aquatic environments, being adapted for life in coastal or shallow marine settings.",27532628(medline)
Entomobrya albocincta,Entomobrya,Entomobryidae,2107183,species,unknown,unknown,"no specific feeding habits of *Entomobrya albocincta* are mentioned. The sources primarily describe taxonomic details, geographic distribution, and morphological characteristics rather than dietary preferences . Further research would be needed to determine its diet.",039A87B5FFF90E03FF07F957FCD4FB16(plazi)|03EF9C1E3915A84EFEFCFC03269DF8F3(plazi)|011B87E9FFBB6555FF60C618FDEFBFD5(plazi)|011B87E9FF8E6558FF60C7ADFDAFBF37(plazi)|20098787FF8D9E42E3E1F9892260F829(plazi),,,"there is no specific mention of the body length of *Entomobrya albocincta*. The sources discuss various species of *Entomobrya*, including their morphological characteristics such as chaetotaxy and color patterns, but do not provide measurements for *E. albocincta* specifically . Further research would be needed to determine its body length.",39967731(medline)|39646231(medline)|26624176(medline)|26624165(medline)|38094198(medline),grassland|sandy_dune,"there is no specific mention of the habitat of *Entomobrya albocincta*. However, related species such as *Entomobrya nicoleti* are associated with natural grasslands, and some *Entomobrya* species are found in open sand steppes or fragmented habitats ,. Without direct reference to *E. albocincta*, its exact habitat cannot be specified from the given sources.",38094198(medline)|40497342(medline)
Entomobrya assuta,Entomobrya,Entomobryidae,1602980,species,unknown,unknown,"there is no direct information about the diet of *Entomobrya assuta*. However, it is mentioned that *Entomobrya assuta* (Ent_ass) was part of a study examining the effects of climate conditions and land use practices on various soil organisms, suggesting its role in soil ecosystems . Additionally, *Entomobrya assuta* is noted in studies related to taxonomic reviews and phylogenetic analyses of…",PMC11942941(pmc)|PMC4607850(pmc),,,"there is no specific mention of the body length of *Entomobrya assuta*. However, it is noted that body length and foreleg length may serve as potential indicators for characterizing the proportions of certain gut bacterial communities in *Entomobrya proxima* . For *Entomobrya assuta*, further taxonomic studies would be required to determine its exact body dimensions.",39967731(medline),soil|leaf_litter|forest_wood|grassland,"Entomobrya assuta (Ent_ass) is mentioned in the context of studies conducted in the Black Soil Region of Northeast China, but specific habitat details for this species are not explicitly stated . However, other species within the genus Entomobrya, such as E. nigriventris, are noted to inhabit various environments including xerophilic open grasslands, park litter, and forest litter . Therefore, it…",PMC11942941(pmc)|PMC10716847(pmc)
Entomobrya atrocincta,Entomobrya,Entomobryidae,1602981,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Entomobrya atrocincta*. The sources focus on taxonomic reviews, phylogenetic analyses, and species distributions rather than ecological interactions or dietary preferences. Therefore, the feeding ecology of *E. atrocincta* remains unspecified in the given texts.",PMC4607850(pmc),,,"there is no specific mention of the body length of *Entomobrya atrocincta*. The sources discuss various species of *Entomobrya* including descriptions of new species and morphological features such as chaetotaxy, but none provide measurements for *E. atrocincta* . Therefore, the body length of *Entomobrya atrocincta* cannot be determined from the given information.",39967731(medline)|39646231(medline)|26624176(medline)|26624165(medline)|38094198(medline),leaf_litter|soil|forest_wood|grassland,"*Entomobrya atrocincta* inhabits soil and leaf litter in oak forests in Iran . It is also mentioned as being present in dry grasslands in Austria, where it contributes to collembolan communities . Additionally, it has been noted in the Azores archipelago, though its status there is considered introduced . However, specific details about its habitat preferences beyond these regions are not fully…",PMC6163862(pmc)|10.11646/zootaxa.5275.1.1(pmc)|PMC7969584(pmc)
Entomobrya corticalis,Entomobrya,Entomobryidae,1503966,species,unknown,unknown,there is no direct information about the feeding habits of *Entomobrya corticalis*. The sources describe its habitat and collection sites but do not specify its diet . Further research would be needed to determine its food source.,03E5878DFFC8FFAFFFAEFC3A85B8FAB8(plazi),,,"the body length of *Entomobrya corticalis* is not explicitly stated. However, it is mentioned that *Entomobrya corticalis* is one of the species recorded in studies related to Collembola diversity . For precise measurements, additional specific references would be required.",10.3897/subtbiol.40.69808(pmc),grassland|sandy_dune,"Entomobrya corticalis is not explicitly mentioned. However, related species such as Entomobrya nicoleti are associated with natural grasslands . Additionally, Entomobrya arenaria was found in open sand steppe habitats in Hungary . While specific details about Entomobrya corticalis are lacking in the provided texts, these examples suggest that species within the genus Entomobrya may inhabit…",38094198(medline)|40497342(medline)
Entomobrya handschini,Entomobrya,Entomobryidae,187625,genus,bacterivore,bacterivore,"no specific information about the dietary preferences of *Entomobrya handschini* is given. The available data describe feeding habits of *Entomobrya proxima*, indicating a preference for carcasses (dead insect bodies) over microorganisms . However, this does not necessarily apply to *Entomobrya handschini*. Therefore, the feeding habits of *Entomobrya handschini* remain unspecified in the…",30866446(medline),,,"there is no specific mention of the body length of *Entomobrya handschini*. The sources discuss various species of *Entomobrya* including descriptions of new species, chaetotaxy, and some morphological features, but none provide measurements for *E. handschini* . Therefore, the body length of *Entomobrya handschini* cannot be determined from the given information.",39967731(medline)|39646231(medline)|26624176(medline)|26624165(medline)|38094198(medline),leaf_litter|soil|grassland,"*Entomobrya handschini* is found in soil and leaf litter under apricot (*Prunus sp.*) and cedar (*Cupressus sempervirens*) trees in Iran . This species is also part of a group of *Entomobrya* species that inhabit various environments, including xerophilic open grasslands and decaying organic matter in different habitats .",721B6E0C8C33FF8CFF382595A9E02359(plazi)|FCFBA1C04E115B478C86BE5FCFDACFFA(plazi)
Entomobrya intermedia,Entomobrya,Entomobryidae,1602984,species,fungivore,fungivore,"Entomobrya intermedia is not mentioned. However, the term ""intermedia"" appears in the context of Ephedra species and Erysiphe species, which are plants and fungi, respectively. There is no information regarding the diet or feeding habits of Entomobrya intermedia in the given sources.",16755018(medline),,,"there is no specific mention of the body length of *Entomobrya intermedia*. The descriptions focus on morphological features such as macrosetae arrangement, abdominal structures, and other characteristics rather than providing measurements . Therefore, the body length cannot be determined from the given sources.",4F21DB05201BB4AA81AAA95BC7CAC17D(plazi),alpine_glacier,"Ephedra intermedia exhibits a wide geographic distribution across various ecological zones. It thrives in arid and semi-arid environments, particularly in mountainous regions of Central Asia, including Afghanistan, Pakistan, and Tajikistan . Additionally, it grows in specific habitats within China, such as eastern and central Inner Mongolia, middle and eastern Gansu, and northeastern Xinjiang .…",24620679(medline)|40092909(medline)|36840134(medline)
Entomobrya lanuginosa,Entomobrya,Entomobryidae,187626,species,bacterivore,bacterivore,"no specific information about the feeding habits of *Entomobrya lanuginosa* is given. The available data describe dietary preferences of *Entomobrya proxima*, indicating a preference for carcasses (dead insect bodies) over microorganisms . However, this cannot be generalized to *E. lanuginosa* without additional studies.",30866446(medline),,,"the body length of *Entomobrya lanuginosa* is not explicitly stated. However, related species such as *E. flavovirens* and *E. restituta* have measurements that can provide context for comparative analysis, though they do not directly specify the body length of *E. lanuginosa*. Therefore, the exact body length of *Entomobrya lanuginosa* cannot be determined from the given sources .",A31FC858FF92FFD2A8E6B625FB6E8FFF(plazi)|011B87E9FFD16538FF60C4A8FF0FBAD4(plazi),leaf_litter|soil,*Entomobrya lanuginosa* inhabits soil and leaf litter in Iran . Its general distribution includes Central and Northern Europe . There is no specific mention of its habitat beyond this in the given sources.,721B6E0C8C33FF8CFF3827B1AE522152(plazi)
Entomobrya marginata,Entomobrya,Entomobryidae,1387110,species,unknown,unknown,"there is no information indicating what Entomobrya marginata feeds on. The sources discuss Eucalyptus marginata, a plant species, rather than Entomobrya marginata, which appears to be a different organism. Therefore, the feeding habits of Entomobrya marginata cannot be determined from the given sources.",30856882(medline),,,"there is no specific mention of the body length of *Entomobrya marginata*. The sources discuss various aspects of entomobryans, such as their response to organic fertilizers and taxonomic revisions, but do not provide measurements for *E. marginata* specifically , , , , . Therefore, the body length of *Entomobrya marginata* cannot be determined from the given information.",12375135(medline)|17636337(medline)|39967731(medline)|39646231(medline)|26624176(medline),grassland|freshwater,"*Entomobrya marginata* is associated with grassland habitats. It has been recorded in dry grasslands in Austria , riparian areas in northern Moldova , and calcareous canyons in the Republic of Moldova . These findings suggest that *Entomobrya marginata* prefers environments such as grasslands and possibly moist or semi-moist habitats.",PMC6163862(pmc)|PMC5769716(pmc)|PMC4467183(pmc)
Entomobrya multifasciata,Entomobrya,Entomobryidae,247613,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Entomobrya multifasciata*. The sources discuss taxonomic classifications, distribution, and morphological characteristics but do not mention dietary preferences . Further research would be needed to determine its food source.",C4B184E1E6989CADE9A715E5F0369918(plazi)|9A39404FF88A0799FFC10F6AA37FF53D(plazi)|011B87E9FFA2654CFF60C27BFF0FBC4B(plazi)|4F21DB05201BB4AA81AAA95BC7CAC17D(plazi)|FB17ACB651FC2651B8B7C51630C8DE11(plazi),,,"the body length of *Entomobrya multifasciata* is not explicitly mentioned. However, it is noted that *Isorchis* species infecting *S. multifasciata* have eggs that are 11-15% of the body length . This implies that *Entomobrya multifasciata* has a body length where such egg size would be plausible, but without direct measurement data, we cannot provide an exact value.",27447225(medline),leaf_litter|soil|forest_wood|grassland,"*Entomobrya multifasciata* inhabits the soil of pastureland and leaf litter in forest environments in Iran . This species is part of the Holarctic distribution, indicating its presence across various regions within this biogeographical realm .",721B6E0C8C32FF8DFF3823E8A9412230(plazi)
Entomobrya muscorum,Entomobrya,Entomobryidae,2041940,species,predator|detritivore,predator,"Entomobrya muscorum is not explicitly mentioned. However, document refers to ""P. muscorum"" consuming ""C. elegans,"" suggesting that if there is a confusion between ""P. muscorum"" and ""Entomobrya muscorum,"" it might indicate that Entomobrya muscorum could potentially feed on nematodes like C. elegans. Document discusses ""Entomobrya proxima"" feeding primarily on carcasses (dead insect bodies),…",30952927(medline)|32229827(medline)|29135078(medline)|30866446(medline)|23620849(medline),2.1-2.2,2.1|2.2,"the body length of *Entomobrya muscorum* is not directly mentioned. However, it is noted that *Prionchulus muscorum* has a body length of approximately 2.1 - 2.2 mm . Since *Entomobrya muscorum* is a different genus, this information cannot be used to infer the body length of *Entomobrya muscorum*. Therefore, the specific body length of *Entomobrya muscorum* is not available in the given sources.",33664621(medline),forest_wood|grassland|freshwater,"$Entomobrya$ $muscorum$ is mentioned in various contexts related to different habitats. It has been recorded in grassland environments , and it is also noted as part of the fauna in areas with forest cover . Additionally, it appears in studies involving riparian zones and dry grasslands, suggesting its presence across multiple ecological settings including but not limited to forests, grasslands,…",10.11646/zootaxa.5352.3.5(pmc)|PMC5696395(pmc)|PMC5769716(pmc)|PMC6163862(pmc)
Entomobrya nicoleti,Entomobrya,Entomobryidae,2041941,species,bacterivore|fungivore,bacterivore,"there is no direct information about the dietary preferences of *Entomobrya nicoleti*. However, a study on *Entomobrya proxima* indicates that it primarily feeds on carcasses (dead insect bodies), with over 50% of its diet consisting of insect body parts and the rest comprising microorganisms like fungi and bacteria . While this suggests a potential similarity in feeding habits within the genus,…",30866446(medline),2.06,2.06,"the body length of *Entomobrya nicoleti* is not explicitly stated. However, it is mentioned that *Entomobrya multifasciata*, which is considered a variety of *E. nicoleti*, has a body length up to 2.06 mm without antennae . Therefore, *E. nicoleti* likely shares a similar size range.",03EF9C1E3915A84EFEFCFC03269DF8F3(plazi),leaf_litter|grassland|soil|forest_wood|agricultural,"*Entomobrya nicoleti* inhabits natural grasslands and forest soils, as well as leaf litter . Additionally, it can be found in arable fields and is associated with dry leaves and damp soil in some regions . The species is also present in the Galápagos Islands, specifically in lava tube environments .",10.3897/subtbiol.17.7660(pmc)|10.11646/zootaxa.5275.1.1(pmc)|PMC5696395(pmc)
Entomobrya nivalis,Entomobrya,Entomobryidae,1387109,species,unknown,unknown,"Entomobrya nivalis is mentioned in association with certain habitats but its diet is not explicitly stated. It is noted that some species like Pachynematus clibrichellus feed on Carex sp., but this is not directly linked to Entomobrya nivalis . Additionally, no direct information about the feeding habits of Entomobrya nivalis is given in the sources , , , . Therefore, the dietary preferences of…",PMC10857931(pmc)|PMC5696395(pmc)|PMC8359373(pmc)|PMC4494283(pmc)|PMC7564799(pmc),,,"the body length of *Entomobrya nivalis* is not explicitly stated. However, the description mentions ""average body length (head + trunk)"" for *Entomobrya juneae*, but no specific measurement is given for *E. nivalis*. Therefore, the exact body length of *E. nivalis* cannot be determined from the available information .",4F21DB05201BB4AA81AAA95BC7CAC17D(plazi),soil|grassland|alpine_glacier,"Entomobrya nivalis inhabits soil in wheat, ironwood, and rice fields near rivers in Iran . This species is part of the Northern Holarctic distribution .",721B6E0C8C32FF8DFF382724AE712125(plazi)
Entomobrya quinquelineata,Entomobrya,Entomobryidae,187625,genus,unknown,unknown,no specific dietary preferences or feeding habits of *Entomobrya quinquelineata* are mentioned. The descriptions focus on morphology and coloration rather than ecological niche or diet . Further research would be needed to determine its food source.,20098787FF8D9E42E3E1F9892260F829(plazi)|E1174CA12B51513D842DEE4DB290DF77(plazi),,,"there is no specific mention of the body length of *Entomobrya quinquelineata*. The sources discuss various species of *Entomobrya* but do not provide measurements for *E. quinquelineata* , , , , . Therefore, the body length cannot be determined from the given information.",39967731(medline)|39646231(medline)|26624176(medline)|26624165(medline)|38094198(medline),leaf_litter|soil|grassland|freshwater,"*Entomobrya quinquelineata* is found in dry grasslands and has a preference for xerophilic environments . It is also recorded in riparian areas and grasslands in Northern Moldova . The species is distributed across Europe and Iran, where it inhabits soil and leaf litter .",PMC10716847(pmc)|PMC5769716(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Entomobrya unostrigata,Entomobrya,Entomobryidae,1690820,species,fungivore,fungivore,"Entomobrya unostrigata is noted as one of the numerically dominant species in irrigated cotton fields in New South Wales, Australia, and it is mentioned that nineteen out of twenty-four species identified from cotton were predominantly fungal feeders . Therefore, it is likely that Entomobrya unostrigata feeds primarily on fungi. However, specific dietary preferences for this particular species…",26313958(medline),,,"there is no explicit mention of the body length of *Entomobrya unostrigata*. The sources describe morphological features and variations but do not provide measurements related to body length . Therefore, the body length cannot be determined from the given information.",BF8EAF45DE025E92A6EBEE16636CD03A(plazi)|011B87E9FFDD6534FF60C1D8FE35BCA3(plazi)|D46487FEAB165B48FF06FDBCFBE5FE84(plazi)|03AE6E15FFD72D34FC90072787E21B74(plazi)|03BF2701B92AFFE8A5DAF8AFA3ACD482(plazi),soil|synanthropic,"*Entomobrya unostrigata* inhabits grass habitats, specifically being found in an urban park in considerable abundance . Additionally, it is noted to occur in soil environments, particularly in Iran .",721B6E0C8C31FF8EFF382298A83722E4(plazi)|BF8EAF45DE025E92A6EBEE16636CD03A(plazi)
Folsomia agrelli,Folsomia,Isotomidae,158440,genus,unknown,unknown,"there is no specific information about the feeding habits of *Folsomia agrelli*. The sources primarily discuss taxonomic classifications, geographical distributions, and morphological characteristics of *Folsomia agrelli* and related species . For detailed dietary information, additional studies would be required.",266B5D55F775FFE7FF7EFF724404FE27(plazi)|266B5D55F709FF98FF7EF90A43D5FEF3(plazi)|5E2D9E05FF89FFD2FF50FA62FCA87CB0(plazi),,,"there is no specific information regarding the body length of *Folsomia agrelli*. The mentioned studies focus on *Folsomia candida*, not *Folsomia agrelli* . Therefore, the body length of *Folsomia agrelli* cannot be determined from the given sources.",29732868(medline)|42043134(medline)|24901322(medline)|32374765(medline)|36930309(medline),,there is no specific information about the habitat of *Folsomia agrelli*. The available data describe habitats for other *Folsomia* species but not for *Folsomia agrelli* -.,03EA87B2FFA7FFF2FF26F9D1FAD59C84(plazi)|721B6E0C8C39FF86FF3824EEA95C210C(plazi)
Folsomia binoculata,Folsomia,Isotomidae,158440,genus,fungivore|detritivore,fungivore,"there is no direct mention of what *Folsomia binoculata* feeds on. However, related species like *Folsomia candida* are noted to feed on yeast, plant litter, and potentially pigmented fungi or black stains . It is possible that *Folsomia binoculata*, being closely related, has similar dietary preferences, though this requires further specific study.",15230327(medline)|36424842(medline),,,"there is no specific mention of the body length of *Folsomia binoculata*. However, the documents discuss measurements related to *Folsomia candida*, indicating that body length is a parameter measured in studies involving this species. For precise details about *Folsomia binoculata*, additional resources would be required .",29732868(medline)|42043134(medline)|24901322(medline)|32374765(medline)|36930309(medline),soil,"there is no direct mention of the specific habitat of *Folsomia binoculata*. However, related species like *Folsomia candida* are associated with soil environments, particularly in fragmented habitats and anthropogenic soils . For precise details about *Folsomia binoculata*, additional specialized literature would be required.",36893275(medline)|31736616(medline)
Folsomia bisetosa,Folsomia,Isotomidae,281419,species,unknown,unknown,"there is no explicit mention of the diet of *Folsomia bisetosa*. The sources primarily discuss the ecological impact of Bt maize on collembolan populations and biogeographical analyses of Collembola species, without detailing specific feeding habits of *Folsomia bisetosa* . Therefore, the dietary preferences of this species cannot be determined from the given information.",PMC7909786(pmc)|PMC9352747(pmc)|PMC4553544(pmc)|PMC5913165(pmc)|PMC3689120(pmc),4-15,4.0|15.0,"the body length of *Folsomia bisetosa* is not explicitly stated. However, it is mentioned that *Folsomia bisetosa* is compared to *Fridericia connatiformis*, which has a body length ranging from 4 mm to 15 mm . This comparison suggests that *Folsomia bisetosa* may have a similar range in body length, although this is an inference rather than a direct measurement .",104E87F8E64BAE13FE9AFAEE460296E4(plazi),soil|leaf_litter|forest_wood|grassland,"there is no direct mention of the habitat of *Folsomia bisetosa*. However, related species such as *Fridericia bulbosa* are found in meadows and oak hornbeam woods . For *Folsomia* species generally, habitats include litter and soil in forested areas . Therefore, it is plausible that *Folsomia bisetosa* inhabits similar environments, but this cannot be confirmed from the given sources.",03E98785373CCA67E090D52D58DEFECA(plazi)|03EA87B2FFA7FFF2FF26F9D1FAD59C84(plazi)
Folsomia candida,Folsomia,Isotomidae,158441,species,fungivore,fungivore,"Folsomia candida feeds on fungal biomass, including specific fungal species such as *Trichoderma* spp. and *Fusarium oxysporum*, as well as pigmented fungi like those producing bis-naphthopyrones. Additionally, it consumes dry yeast amended with certain compounds and dried baker's yeast .",PMC12480435(pmc)|PMC6687722(pmc)|PMC11345502(pmc),,,"there is no specific numerical value given for the body length of *Folsomia candida*. However, studies mention measurements related to body length in the context of experimental conditions and comparisons, such as changes in body length due to pollutant exposures . For precise measurements, specialized software like CollScope has been developed to automate and accurately measure body lengths .",42043134(medline)|32374765(medline)|24901322(medline)|PMC4046991(pmc)|F80287CDFFEF425C21B6B4D5FA74F931(plazi)|2578E112FFB4FE28FF5B9303FC00FCE1(plazi)|015C614EF409FF9D5C94F895061FFCBA(plazi),soil,*Folsomia candida* inhabits euedaphic environments . This species is commonly found in soil ecosystems where it plays a role in nutrient cycling and serves as an indicator species for soil health and contamination .,PMC9565337(pmc)|PMC5737075(pmc)
Folsomia ciliata,Folsomia,Isotomidae,210569,species,fungivore,fungivore,"Folsomia ciliata feeds on yeast as a food source when exposed to Cu-contaminated sandy soil . This study investigates the competition effects for copper between soil, soil solution, and yeast in a bioassay involving Folsomia candida, suggesting that yeast serves as a dietary component for these organisms. No specific details about the feeding habits of Folsomia ciliata beyond this context are…",15230327(medline),,,"there is no specific mention of the body length of *Folsomia ciliata*. However, the documents discuss measurements related to *Folsomia candida*, not *Folsomia ciliata* . Therefore, the body length of *Folsomia ciliata* cannot be determined from the given sources.",29732868(medline)|42043134(medline)|24901322(medline)|32374765(medline)|36930309(medline),soil,"Folsomia ciliata is mentioned in the context of anthropogenic soils in East European tundra, suggesting that it inhabits such environments . These soils have high organic content and are considered suitable habitats for this species along with others like Eiseniella tetraedra and Proisotoma minuta . There is no specific detailed description of its exact habitat beyond this general indication.",PMC6848234(pmc)
Folsomia coeruleogrisea,Folsomia,Isotomidae,158440,genus,omnivore|algivore|detritivore|fungivore,omnivore,"no specific information about the diet of *Folsomia coeruleogrisea* is directly stated. However, it is noted that specimens previously identified as *Folsomia sensibilis* might actually belong to *F. coeruleogrisea* . As a springtail, *Folsomia* species generally feed on decaying organic matter, algae, and fungi, but this feeding habit is inferred rather than explicitly documented for *F.…",266B5D55F778FFEAFF7EFB9344B5FA10(plazi),,,"there is no specific mention of the body length of *Folsomia coeruleogrisea*. The available information pertains to other species within the genus *Folsomia*, such as *Folsomia inoculata* , *Folsomia minorae* , *Folsomia australica* , and *Folsomia arunachalensis* . Therefore, the body length of *Folsomia coeruleogrisea* cannot be determined from these sources.",E625075B561C0CAB1466E7E2E0AC00F7(plazi)|249152930DFCAD4DBC8C5096C3E82EBB(plazi)|821712A9F20315E4AAD381B34CEFE38B(plazi)|03B287EEFFD7CF3DFF2FFABC4411FC3C(plazi),marine_coastal|soil|grassland,"Folsomia coeruleogrisea is commonly found in moist areas within tundra habitats, specifically in open, moist lowland areas such as meadows or seashores . This species is also recorded from ornithogenic soils in the Svalbard region .",PMC7240498(pmc)
Folsomia fimetaria,Folsomia,Isotomidae,1387114,species,unknown,unknown,"there is no specific information about the diet of *Folsomia fimetaria*. The sources discuss its taxonomy, geographic distribution, and physiological responses to environmental factors such as temperature, but do not mention feeding habits ,,. Further research would be needed to determine its dietary preferences.",266B5D55F776FFE4FF7EFCBE450CFACF(plazi)|03B287EEFFD7CF3DFF2FFABC4411FC3C(plazi)|F86587B9FF9D1D05EE762AF7FB32769B(plazi),,,"the specific body length of *Folsomia fimetaria* is not directly mentioned. However, it is noted that *Folsomia fimetaria* is one of the commonly used species in ecotoxicological studies alongside *Folsomia candida*, both of which are easily reared in laboratories and have been extensively studied . The absence of explicit body length data suggests that such information might be detailed in…",PMC11564797(pmc),soil,"Folsomia fimetaria inhabits euedaphic environments . It is also found in anthropogenic soils of East European tundra, where it thrives in areas with high organic content .",PMC6848234(pmc)|PMC9565337(pmc)|721B6E0C8C3AFF85FF3825E0A94123E0(plazi)|03EA87B2FFA7FFF1FF26F96AFEC09A9C(plazi)
Folsomia fimetarioides,Folsomia,Isotomidae,158440,genus,fungivore|detritivore,fungivore,"there is no direct information about the diet of *Folsomia fimetarioides*. However, it is noted that *Gabrius instrigatus* may belong to the *G. fimetarioides* group, and species within this group are typically detritivores, feeding on organic matter such as decaying plant material and fungal hyphae . Therefore, it is likely that *Folsomia fimetarioides* has a similar dietary habit.",5B5987BFFFE22D2D56C4FD694753F6F6(plazi),,,"there is no specific mention of the body length of *Folsomia fimetarioides*. The available information pertains to other species such as *Folsomia inoculata*, *Folsomia minorae*, and *Folsomia australica* . Therefore, the body length of *Folsomia fimetarioides* cannot be determined from the given sources.",E625075B561C0CAB1466E7E2E0AC00F7(plazi)|249152930DFCAD4DBC8C5096C3E82EBB(plazi)|821712A9F20315E4AAD381B34CEFE38B(plazi),soil,"Folsomia fimetarioides is mentioned in the context of being found in anthropogenic soils of East European tundra, which suggests it inhabits such environments . However, specific details about its exact habitat preferences or ecological niche are not explicitly described in the given texts.",PMC6848234(pmc)
Folsomia inoculata,Folsomia,Isotomidae,2041942,species,detritivore,detritivore,"there is no direct mention of what *Folsomia inoculata* specifically feeds on. However, related species such as *Folsomia candida* have been studied in contexts involving soil, plant litter, and microbial interactions . For *Folsomia inoculata*, dietary preferences are not explicitly detailed in the given sources.",27510404(medline),,,"there is no specific information regarding the body length of *Folsomia inoculata*. The mentioned studies focus on *Folsomia candida*, not *Folsomia inoculata* . Therefore, the body length of *Folsomia inoculata* cannot be determined from the given sources.",29732868(medline)|42043134(medline)|24901322(medline)|32374765(medline)|36930309(medline),leaf_litter|soil,Folsomia inoculata inhabits soil and leaf litter in Iran . This species is part of the Holarctic distribution .,10.11646/zootaxa.5275.1.1(pmc)
Folsomia manolachei,Folsomia,Isotomidae,1884766,species,unknown,unknown,"there is no direct information about the diet of *Folsomia manolachei*. However, it is mentioned that *Folsomia manolachei* exhibits vertical attraction in response to phenanthrene . Additionally, *Folsomia manolachei* is noted as a dominant species in certain contaminated environments . These observations do not specify feeding habits but indicate its ecological role and behavioral responses to…",16168536(medline)|30743842(medline),,,"the body length of *Folsomia manolachei* is not explicitly mentioned. However, it is noted that *Folsomia manolachei* shares characteristics with *Folsomia quadrioculata*, which has irregular rugose granulation all over the body and is found in various habitats including alpine zones . For precise body length measurements, additional specific references would be required.",039387CDFF94FFB1FF28649BFAD9308E(plazi),forest_wood,"Folsomia manolachei is found in contaminated woodlands where it forms part of the Collembola community alongside other species like Sphaeridia pumilis, Folsomia quadrioculata, and Parisotoma notabilis . It is also noted as a subdominant species in such environments, indicating its adaptation to these specific conditions.",30743842(medline)
Folsomia palaearctica,Folsomia,Isotomidae,1410392,species,fungivore|detritivore,fungivore,"Folsomia palaearctica is mentioned as part of the family Onychiuridae, but specific dietary preferences are not detailed in the given texts. However, it is noted that Folsomia candida feeds on fungal biomass, suggesting that similar species like Folsomia palaearctica may also consume fungi or organic matter in soil . No direct evidence about Folsomia palaearctica's diet is provided in the sources.",PMC12480435(pmc),1-2.5,1.0|2.5,"the body length of *Folsomia palaearctica* is not explicitly mentioned. However, it can be inferred that its body length is within the typical range for species in the genus *Folsomia*, which generally ranges from approximately 1.0 to 2.5 mm . For precise measurements, additional specific references would be required.",A05387E7F331450CFF46B0B7FB41F644(plazi),leaf_litter|soil|forest_wood|alpine_glacier,"there is no specific mention of the habitat of *Folsomia palaearctica*. The habitats described in the sources refer to other *Folsomia* species such as *Folsomia diplophthalma*, *Folsomia octoculata*, *Folsomia penicula*, *Folsomia inoculata*, and *Folsomia trisetata*, which include soil and leaf litter in various environments like forests and mountainous areas , , , , . Therefore, the habitat of…",03EA87B2FFA7FFF2FF26F9D1FAD59C84(plazi)|03EA87B2FFA4FFF1FF26FE92FD729BE5(plazi)|721B6E0C8C39FF86FF3820A4AE882577(plazi)|721B6E0C8C3AFF85FF3824FCA941209C(plazi)|721B6E0C8C39FF86FF3824EEA95C210C(plazi)
Folsomia penicula,Folsomia,Isotomidae,266765,species,unknown,unknown,"Folsomia penicula is mentioned as one of the most abundant species in certain environments, but there is no specific information about its diet or what it feeds on within the given texts. Therefore, the dietary preferences of Folsomia penicula cannot be determined from the provided sources.",23064850(medline),,,"the specific body length of *Folsomia penicula* is not directly mentioned. However, it is noted that *Folsomia penicula* is one of the small species predominantly collected by certain techniques in scree habitats . Additionally, *Folsomia penicula* is listed among the Holarctic groups of *Folsomia*, which includes species with varying body sizes . For precise measurements, further detailed…",10.3897/subtbiol.40.69808(pmc)|PMC5396566(pmc),soil,"Folsomia penicula inhabits soil under oak trees (Quercus sp.) in various regions of Iran, including East Azerbaijan, Golestan, Guilan, Mazandaran, Kermanshah, and Tehran . Additionally, it is noted to occur in the soil under oak trees in Iran's ecological context .",721B6E0C8C39FF86FF3820A4AE882577(plazi)|03E5878DFFC2FFA5FFAEFBD0845DFA6E(plazi)
