species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guild,trophic_guild_indirect,trophic_evidence_type,trophic_note,trophic_n_docs,trophic_sources,trophic_qa_answer,body_size_mm,body_size_indirect_mm,body_size_note,body_size_n_docs,body_size_sources,body_size_qa_answer,habitat,habitat_indirect,habitat_evidence_type,habitat_note,habitat_n_docs,habitat_sources,habitat_qa_answer,bold_n_specimens,bold_life_stage,bold_habitat,bold_sampling_protocol,bold_country,bold_province,bold_coord,bold_elev_m,bold_collection_dates,bold_biome,bold_ecoregion
Desoria olivacea,Desoria,Isotomidae,370026,species,,,,the sources contain no explicit statement about this species' diet,3,03CF878BFFA2C26021925EA2FD3AA898(plazi)|03AA531A0F5F3530FF595CBFFCEBA7AB(plazi)|721B6E0C8C3EFF81FF382184A9802744(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Desoria olivacea*. The sources primarily focus on its taxonomy, distribution, and ecological habitat rather than its dietary preferences . Further research would be needed to determine its food source.",,,,3,03CF878BFFA2C26021925EA2FD3AA898(plazi)|721B6E0C8C3EFF81FF382184A9802744(plazi)|03AA531A0F5F3530FF595CBFFCEBA7AB(plazi),"Based on the provided documents, there is no specific mention of the body length of *Desoria olivacea*. The sources discuss the species' distribution, taxonomy, and ecology but do not provide measurements related to its body size . Further research would be needed to determine this characteristic.",soil|cave,,direct,,3,721B6E0C8C3EFF81FF382184A9802744(plazi)|03CF878BFFA2C26021925EA2FD3AA898(plazi)|03AA531A0F5F3530FF595CBFFCEBA7AB(plazi),"Based on the provided documents, *Desoria olivacea* inhabits soil environments . It has been recorded from various locations across Europe, including France, Italy, Spain, and Sweden, with specific mentions of its presence in soil habitats such as those found in caves and near water bodies . The species is also noted to occur in regions like Vojvodina, where it was found in the Obedska Bara area .",19,Adult|immature|adult,"EUNIS G1.5; Broadleaved swamp woodland on acid peat. Sphagnum etc.|Coniferous forest|NA|Mountain birch forest|Alpine|Damp spruce forest|G3.1, Fir and spruce woodland",NA|Soil/litter sample|Moss sample,Denmark|Finland|Norway|Germany,Vestfold|Saxony-Anhalt|Oppland|More og Romsdal,"56.126,9.503|63.1,29.804",NA|324,2011-2019,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|Tundra_simplify-0.001_buffered-0.018|NA,Baltic_mixed_forests|Scandinavian_and_Russian_taiga|Scandinavian_Montane_Birch_forest_and_grasslands|NA|Western_European_broadleaf_forests
Desoria orobica,Desoria,Isotomidae,3127815,species,,,,,0,,,,,,0,,,,,,,0,,,5,NA,NA,NA,Italy,,"46.054443,10.086389|NA",NA,2023,NA,NA
Desoria propinqua,Desoria,Isotomidae,281417,genus,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFA2C260200F5B8CFDA8AA13(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Desoria propinqua* . The sources mention its distribution and morphological characteristics but do not provide details about its food source. Further research would be needed to determine its dietary preferences.",,,,1,03CF878BFFA2C260200F5B8CFDA8AA13(plazi),"Based on the provided documents, there is no specific mention of the body length of *Desoria propinqua*. The sources provide distribution and morphological notes but do not include measurements .",,soil,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,03CF878BFFA2C260200F5B8CFDA8AA13(plazi),"Based on the provided documents, the habitat of *Desoria propinqua* includes the Hautes-Pyrénées and the Massif du Nouveau in France, as well as the Pyrénées centrales . Specific locations mentioned are Cassagnau's studies from 1961 and 1968, indicating these areas are part of its distribution range. However, detailed ecological preferences or specific habitats such as soil type or vegetation are not explicitly described in the given sources.",2,adult,Coniferous forest,Soil/litter sample,Finland,,"65.341,25.711",NA,2019,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,Scandinavian_and_Russian_taiga
Desoria saltans,Desoria,Isotomidae,3127811,species,,,,the sources contain no explicit statement about this species' diet,4,504F2D6CFFDDFF8D97BEF214FDAA1F69(plazi)|E03187B3FFC7D410FF31F493FE06F9C7(plazi)|03CF878BFFA2C260202958ACFAACAD27(plazi),"Based on the provided documents, there is no specific information about the diet or feeding habits of *Desoria saltans*. The sources mention its distribution and taxonomic status but do not provide details on its food source . Further research would be needed to determine what *Desoria saltans* feeds on.",,,,4,504F2D6CFFDDFF8D97BEF214FDAA1F69(plazi)|504F2D6CFFD8FF8D97BEF774FD1C1CBC(plazi)|03CF878BFFA2C260202958ACFAACAD27(plazi)|E03187B3FFC7D410FF31F493FE06F9C7(plazi),"Based on the provided documents, there is no specific mention of the body length of *Desoria saltans*. The sources describe its distribution, morphology, and ecological preferences but do not provide measurements related to body size . Further research would be needed to determine this characteristic.",alpine_glacier,,direct,,4,03CF878BFFA2C260202958ACFAACAD27(plazi)|504F2D6CFFD8FF8D97BEF774FD1C1CBC(plazi),"Based on the provided documents, *Desoria saltans* is associated with glacial environments. It has been noted to inhabit glaciers and snowfields, particularly in Europe, where it is referred to as the ""Gletscherflohs"" . Additionally, it has been documented in the Alps and is linked to cold climates . However, specific habitat details beyond these general observations are not extensively described in the given sources.",24,NA,NA,NA,Italy|France,,NA,NA,2021,NA,NA
Desoria tigrina,Desoria,Isotomidae,370036,species,,,,the sources contain no explicit statement about this species' diet,3,721B6E0C8C3EFF81FF382080A97A24A4(plazi)|266B5D55F704FF96FF7EFE2845FDFCA9(plazi)|03CF878BFFA2C26022C15E49FBD6AF89(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Desoria tigrina*. The sources primarily discuss its taxonomy, distribution, and ecology without mentioning its food source .",,,,3,03CF878BFFA2C26022C15E49FBD6AF89(plazi)|721B6E0C8C3EFF81FF382080A97A24A4(plazi)|266B5D55F704FF96FF7EFE2845FDFCA9(plazi),"Based on the provided documents, there is no specific mention of the body length of *Desoria tigrina*. The sources discuss its distribution, ecology, and morphology but do not provide measurements related to body size .",,soil|forest_wood,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,3,03CF878BFFA2C26022C15E49FBD6AF89(plazi)|721B6E0C8C3EFF81FF382080A97A24A4(plazi),"Based on the provided documents, *Desoria tigrina* inhabits soil environments . It is distributed across various regions including France, Italy, and Iran, with specific mentions of its presence in forested areas and mountainous regions . The exact ecological preferences are not detailed beyond the general mention of soil habitats.",4,NA|Adult,NA|Garden compost,NA,United Kingdom|Norway,Vestfold,"51.2988,-0.373|59.1,10.412",NA,2014,NA,English_Lowlands_beech_forests|NA
Desoria tolya,Desoria,Isotomidae,281417,genus,,,,,0,,,,,,0,,,,,,,0,,,10,adult|Adult,Alpine|Mountain birch forest|Lake shore|Coniferous forest|Rotten birch trees,Soil/litter sample|Moss sample|Moss sample from ditch|NA,Finland|Norway,Oppland,"67.692,24.446|69.149,25.794|67.693,24.457",559|278,2014-2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Scandinavian_and_Russian_taiga|Scandinavian_Montane_Birch_forest_and_grasslands
Desoria trispinata,Desoria,Isotomidae,1184801,species,,,,the sources contain no explicit statement about this species' diet,6,03E5878DFFC1FFA6FF5DFD16852FFC3A(plazi)|E03187B3FFC6D411FF31F05BFD7FFD1B(plazi),"Based on the provided documents, there is no specific information about the diet or feeding habits of *Desoria trispinata*. The sources describe its ecological preferences, such as being found in soil under oak trees or in compost and organic debris, but do not mention what it feeds on , . Further research would be needed to determine its dietary requirements.",,,,6,E03187B3FFC6D411FF31F05BFD7FFD1B(plazi)|721B6E0C8C3EFF81FF3823A0A99025A0(plazi)|266B5D55F704FF96FF7EFB88457DFB1D(plazi)|FB3F87CFF074D931465EF291DFBD0B5F(plazi)|03E5878DFFC1FFA6FF5DFD16852FFC3A(plazi)|03E5878DFFC6FFA3FFAEFE8983B5FBBF(plazi),"Based on the provided documents, no specific body length for *Desoria trispinata* is mentioned. The sources describe its general characteristics and distribution but do not provide measurements .",soil|agricultural|synanthropic,,direct,,6,03E5878DFFC1FFA6FF5DFD16852FFC3A(plazi)|E03187B3FFC6D411FF31F05BFD7FFD1B(plazi),"Based on the provided documents, *Desoria trispinata* inhabits soil under oak trees (*Quercus castaneifolia*) in Iran , and it is also found in agricultural lands in Vietnam . Additionally, it occurs in compost and other organic debris globally , indicating a cosmopolitan distribution and preference for moist, organic-rich environments.",55,NA|Adult,"NA|EUNIS G1.1; Riparian and gallery woodland, with dominant Alnus, Betula, Populus or Salix. Litter compost.|Garden compost|E2.6, Agriculturally-improved, re-seeded and heavily fertilised grassland, including sports fields and grass lawns",NA|Malaise Trap|Pitfall Trap,Germany|United Kingdom|France|Belgium|Denmark|Norway,Bavaria|Occitanie|Luik (Liege)|Ile-de-France|Vestfold,"48.09536,11.29434|51.49583,-0.1783333|43.604,1.435",NA,2009-2025,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,Western_European_broadleaf_forests|NA|Pyrenees_conifer_and_mixed_forests|Baltic_mixed_forests|European_Atlantic_mixed_forests|English_Lowlands_beech_forests
Desoria tshernovi,Desoria,Isotomidae,281418,species,,,,the sources contain no explicit statement about this species' diet,1,266B5D55F704FF96FF7EFA7745B0F937(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Desoria tshernovi* . The sources primarily focus on taxonomic descriptions and distributions rather than ecological interactions or dietary preferences. Further research would be needed to determine its food source.",,,,1,266B5D55F704FF96FF7EFA7745B0F937(plazi),"Based on the provided documents, there is no specific mention of the body length of *Desoria tshernovi*. The sources primarily discuss taxonomic classifications and distributions rather than morphological measurements . Further research would be needed to determine its body length.",,,,the sources give no explicit habitat description for this species,1,266B5D55F704FF96FF7EFA7745B0F937(plazi),"Based on the provided documents, there is no specific information about the habitat of *Desoria tshernovi*. The references mainly discuss taxonomic classifications and distributions without detailing ecological preferences or habitats .",5,Adult,NA|Arctic tundra,NA,Norway,Svalbard,"78.059,13.635",NA,2013,NA,Russian_Arctic_desert|NA
Desoria violacea,Desoria,Isotomidae,2041937,species,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFA2C26022B05CE5FAE4A95F(plazi),"Based on the provided documents, there is no specific information given about the diet of *Desoria violacea* . The sources mention its distribution and ecological role as a bioindicator but do not specify feeding habits. Further research would be needed to determine its food source.",,,,1,03CF878BFFA2C26022B05CE5FAE4A95F(plazi),"Based on the provided documents, there is no specific mention of the body length of *Desoria violacea*. The sources discuss its distribution and ecological role but do not provide measurements related to its physical dimensions . Further research would be needed to determine this characteristic.",,cave|soil,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,03CF878BFFA2C26022B05CE5FAE4A95F(plazi),"Based on the provided documents, *Desoria violacea* is found in specific locations such as the Jura region in France, particularly in caves like ""gouffre du Bois du Banc Les Bouchoux"" and ""grotte de Commune Saint-Claude,"" as well as in the Nièvre region within the ""Parc régional du Morvan"" . These habitats suggest that it is associated with subterranean or cave environments. However, detailed ecological preferences or broader habitat descriptions are not explicitly mentioned in the given sources.",5,,NA,NA,Moldova,,"47.3,28.06667",NA,2011,NA,Central_European_mixed_forests
Detriturus jubilarius,Detriturus,Onychiuridae,,,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFB2C270200E5D80FD47A899(plazi),"Based on the provided documents, there is no specific information about the diet of *Detriturus jubilarius*. The sources mention its distribution, physiology, and ecological role as a bioindicator, but not its feeding habits .",,,,1,03CF878BFFB2C270200E5D80FD47A899(plazi),"Based on the provided documents, there is no specific mention of the body length of *Detriturus jubilarius*. The sources discuss distribution, physiology, and ecology but do not provide measurements related to body size .",,leaf_litter|soil|forest_wood,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,03CF878BFFB2C270200E5D80FD47A899(plazi),"Based on the provided documents, *Detriturus jubilarius* is found in specific regions such as Bas-Rhin, Essonne, and Nièvre, with mentions of habitats like Parc du Laboratoire du MNHN Brunoy and Parc régional du Morvan . These areas suggest that the species inhabits forested or protected natural environments, possibly associated with moist soils or leaf litter, given its ecological roles as a bioindicator and its sensitivity to pollutants . However, detailed habitat preferences are not explicitly described in the sources.",4,NA,"R1M Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta|R1, Dry grasslands",soil corer,Germany,Baden-Wuerttemberg,"47.87,8.01|49.09,8.56|48.78,8.8",1470|200|540,2022,NA,NA
Deuteraphorura kratochvili,Deuteraphorura,Onychiuridae,2703755,species,,,,the sources contain no explicit statement about this species' diet,3,03F6757CFF7CA64EFF4CFF46DBE36CD6(plazi)|03F6757CFF7BA640FF4CF8D2DCB96CAA(plazi)|10.11646/zootaxa.5182.5.3(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Deuteraphorura kratochvili*. The sources describe morphological characteristics and taxonomic notes but do not mention ecological data related to food sources , .",1.5-2.2,,,3,03F6757CFF7BA640FF4CF8D2DCB96CAA(plazi)|10.11646/zootaxa.5182.5.3(pmc),"Based on the provided documents, the body length of *Deuteraphorura kratochvili* ranges from 1.5 to 2.2 mm .",,cave,,the sources give no explicit habitat description for this species,3,03F6757CFF7CA64EFF4CFF46DBE36CD6(plazi)|10.11646/zootaxa.5182.5.3(pmc),"Based on the provided documents, Deuteraphorura kratochvili is associated with cave environments, specifically mentioned in relation to the Slovak and Aggtelek Karst regions, where it has been found in shaft caves . However, specific details about its exact habitat preferences or ecological niche are not explicitly described in the given texts.",34,NA,epikarst,NA,Slovakia,Zilina,"49.002,19.583",NA,2019-2020,Temperate_Conifer_Forest_simplify-0.001_buffered-0.018|NA,Carpathian_montane_forests
Deuteraphorura scotaria,Deuteraphorura,Onychiuridae,2041959,genus,,,,the sources contain no explicit statement about this species' diet,1,4E324D2AFFB97D00FF0BBD9EEDC5B5D0(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Deuteraphorura scotaria* . The sources describe its habitat and collection details but do not mention its food source. Further research would be needed to determine its dietary preferences.",,,,1,4E324D2AFFB97D00FF0BBD9EEDC5B5D0(plazi),"Based on the provided documents, the body length of *Deuteraphorura scotaria* is not specified . Further details regarding its morphology are lacking in the given source material.",cave,,direct,no explicit habitat description in the sources; value inferred,1,4E324D2AFFB97D00FF0BBD9EEDC5B5D0(plazi),"Based on the provided documents, 5 specimens of *Deuteraphorura scotaria* were collected from caves in North-eastern Italy, specifically from ""Grotta c/o Clenia, valle del Natisone"" and ""grotta del Forame, (Bus delle Fave)"" . The remaining five specimens were most likely collected in open habitats since their labels did not specify cave locations . Therefore, *D. scotaria* appears to have both cave-dwelling and possibly terrestrial habitats.",20,NA|Adult,"NA|Oak forest, leaf litter",Pitfall Trap|NA,United Kingdom|Norway,Aust-Agder,"55.99,-4.95",NA,2014-2025,NA,NA|Scandinavian_and_Russian_taiga
Deutonura albella,Deutonura,Neanuridae,106921,genus,,,,the sources contain no explicit statement about this species' diet,3,29362535(medline)|541287D01975FFF326AAF8C0915EB58F(plazi)|PMC5769716(pmc),"Based on the provided documents, there is no specific information regarding the diet of *Deutonura albella*. The text mentions the presence of this species in hygrophilous habitats but does not describe its feeding habits . Further research would be needed to determine its dietary preferences.",,,,3,29362535(medline)|541287D01975FFF326AAF8C0915EB58F(plazi)|PMC5769716(pmc),"Based on the provided documents, there is no specific information given about the body length of *Deutonura albella*. The source mentions the presence of this species in certain habitats but does not provide morphological details such as body length .",freshwater,,direct,,3,29362535(medline)|541287D01975FFF326AAF8C0915EB58F(plazi)|PMC5769716(pmc),"Based on the provided documents, *Deutonura albella* prefers hygrophilous habitats, specifically the river section in Braniște with quiet backwaters, as well as the artificial shoreline of the large lake . This indicates a preference for moist environments near aquatic systems.",1,,NA,NA,Moldova,,"47.3,28.95",NA,2011,NA,Central_European_mixed_forests
Deutonura caerulescens,Deutonura,Neanuridae,768147,species,,,,the sources contain no explicit statement about this species' diet,2,03CF878BFF82C240228B5D95FA52AF93(plazi)|039187891700FF8BFF149B12FB6E62B3(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Deutonura caerulescens*. The sources mention its distribution and molecular data but do not provide details about its food source , .",,,,2,03CF878BFF82C240228B5D95FA52AF93(plazi),"Based on the provided documents, the body length of *Deutonura caerulescens* is not explicitly mentioned . The description focuses on other morphological features rather than providing specific measurements.",,marine_coastal,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,2,03CF878BFF82C240228B5D95FA52AF93(plazi),"Based on the provided documents, *Deutonura caerulescens* has been recorded from locations such as ""Camps la Source et Rougiers, plan d'Aups, Mounes-les-Montrieux"" and ""Mont Faron près de Toulon,"" suggesting it inhabits areas near these sites, likely involving coastal or semi-coastal environments . The specific habitat details are not explicitly described in the given texts.",6,,NA,NA,France,,"43.137,5.935",NA,2008,NA,Northeast_Spain_and_Southern_France_Mediterranean_forests
Deutonura decolorata,Deutonura,Neanuridae,768148,species,,,,the sources contain no explicit statement about this species' diet,2,03CF878BFF82C240227E5A9BFA9FAB78(plazi)|721B6E0C8C08FFB7FF382509A9C922C9(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Deutonura decolorata*. The sources mention its distribution and taxonomy but do not provide details about its feeding habits , . Further research would be needed to determine its food source.",,,,2,03CF878BFF82C240227E5A9BFA9FAB78(plazi)|721B6E0C8C08FFB7FF382509A9C922C9(plazi),"Based on the provided documents, there is no specific mention of the body length of *Deutonura decolorata*. The sources discuss taxonomy, distribution, and molecular data but do not provide measurements related to body size , .",leaf_litter|soil,,direct,,2,03CF878BFF82C240227E5A9BFA9FAB78(plazi)|721B6E0C8C08FFB7FF382509A9C922C9(plazi),"Based on the provided documents, *Deutonura decolorata* inhabits soil and leaf litter under oak trees in its ecological context . Additionally, it has been recorded from areas such as Haute-Savoie and Savoie in France, typically at elevations around 850 meters . The species' general distribution includes the western Palaearctic region .",1,,NA,NA,France,Auvergne-Rhones-Alpes,"45.277,5.557",NA,2007,NA,"Western_European_broadleaf_forests, Alps_conifer_and_mixed_forests"
Deutonura deficiens,Deutonura,Neanuridae,172926,species,,,,the sources contain no explicit statement about this species' diet,8,21209797(medline)|03CF878BFF83C241226A5E0DFA62A8E7(plazi)|PMC3014355(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Deutonura deficiens*. The source discusses the use of cuticular compounds to distinguish between different taxa within the *Deutonura deficiens* complex but does not mention dietary preferences . Further research would be needed to determine its food sources.",,,,8,21209797(medline)|039187891700FF8BFF149B12FB6E62B3(plazi)|PMC3014355(pmc),"Based on the provided documents, there is no specific mention of the body length of *Deutonura deficiens*. The source discusses the use of cuticular compounds to differentiate between subspecies and morphotypes within the *Deutonura deficiens* complex but does not provide measurements related to body size .",,,,the sources give no explicit habitat description for this species,8,21209797(medline)|03CF878BFF83C24120185A48FA52ACF5(plazi)|03CF878BFF83C241226A5E0DFA62A8E7(plazi)|039AEC5BFFD27305FF75D5A8FE1FFAE7(plazi)|PMC3014355(pmc),"Based on the provided documents, no specific information about the habitat of *Deutonura deficiens* is given . The study focuses on cuticular compounds and their utility in distinguishing infraspecific entities within the complex, but does not describe the ecological or geographic habitat preferences of the species.",8,I,NA,NA,France,Provence-Alpes-Cote d'Azur|Nouvelle-Aquitaine,"NA|45.9965,1.37038",NA,2004-2008,NA,NA|Western_European_broadleaf_forests
Deutonura gibbosa,Deutonura,Neanuridae,1095201,species,,,,the sources contain no explicit statement about this species' diet,3,039187891700FF8BFF149B12FB6E62B3(plazi)|03CF878BFF83C24122485A7BFA9FAB03(plazi)|C16E0551217CFFA6C1A0FB497D294201(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Deutonura gibbosa*. The sources describe its distribution and taxonomic details but do not mention its food source .",,1.3-1.4,body size of the target species not available; the value reported in the source is for Deutonura zana,3,039187891700FF8BFF149B12FB6E62B3(plazi),"Based on the provided documents, the body length of *Deutonura gibbosa* is not explicitly mentioned. However, the description of *Deutonura zana* provides a length range of 1.3–1.4 mm, which may be comparable, though this cannot be confirmed without direct measurement data for *D. gibbosa* .",,,,the sources give no explicit habitat description for this species,3,03CF878BFF83C24122485A7BFA9FAB03(plazi),"Based on the provided documents, Deutonura gibbosa is found in various locations within the French Alps, including areas such as Montaud, La Balme-les-Grottes, Le Sappey-en Chartreuse, Saint-Laurent-du-Pont, and Saint-Pierre-de-Chartreuse . These sites suggest that the species inhabits alpine regions, possibly associated with rocky or mountainous environments. However, specific habitat details beyond these general locations are not explicitly mentioned in the given texts.",5,I,NA,NA,France,Auvergne-Rhones-Alpes|Provence-Alpes-Cote d'Azur,"45.277,5.557|NA",NA,2007,NA,"Western_European_broadleaf_forests, Alps_conifer_and_mixed_forests|NA"
Deutonura monticola,Deutonura,Neanuridae,1218232,species,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFF8CC24F21DE5800FD35A813(plazi),"Based on the provided documents, there is no specific information about the diet of *Deutonura monticola*. The sources describe its distribution and taxonomy but do not mention feeding habits . Further research would be needed to determine its food source.",,,,1,03CF878BFF8CC24F21DE5800FD35A813(plazi),"Based on the provided documents, there is no specific mention of the body length of *Deutonura monticola*. The text provides distribution details but does not include morphological measurements .",forest_wood,,direct,,1,03CF878BFF8CC24F21DE5800FD35A813(plazi),"Based on the provided documents, *Deutonura monticola* inhabits mountainous regions within the Aude and Ariège departments in France. It has been recorded at elevations ranging from 400 to 1400 meters, specifically in areas such as the Massif des Arize, Col de Latour-Laffont, Forêt de Bethmale, and Forêt de Freychin-de . The species is associated with forested habitats, including mixed woodlands and possibly rocky or semi-shaded environments.",25,NA|A|I,NA,NA,France,Occitanie,NA,NA,2001-2010,NA,NA|Pyrenees_conifer_and_mixed_forests|Northeast_Spain_and_Southern_France_Mediterranean_forests
Deutonura provincialis,Deutonura,Neanuridae,1218233,species,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFF8DC24F228A5B93FA9FA9A5(plazi),"Based on the provided documents, there is no specific information given about the diet of *Deutonura provincialis*. The sources mention its distribution and some taxonomic details but do not provide data on feeding habits . Further research would be needed to determine its food source.",,,,1,03CF878BFF8DC24F228A5B93FA9FA9A5(plazi),"Based on the provided documents, there is no specific mention of the body length of *Deutonura provincialis*. The sources provide distribution and collection data but do not include morphological measurements .",,soil|marine_coastal,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,03CF878BFF8DC24F228A5B93FA9FA9A5(plazi),"Based on the provided documents, *Deutonura provincialis* is found in the Alpes-Maritimes region, specifically in areas such as Peille, Sainte-Beaune, and the massif des Maures, including La Garde Freinet . These locations suggest that the species inhabits coastal and possibly subterranean environments within this area. However, specific habitat details beyond these geographic references are not explicitly mentioned in the sources.",5,,NA,NA,France,Provence-Alpes-Cote d'Azur,NA,NA,2008,NA,NA
Deutonura stachi,Deutonura,Neanuridae,106921,genus,,,,the sources contain no explicit statement about this species' diet,1,541287D01975FFF326AAF8C0915EB58F(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Deutonura stachi*. The sources mention collection dates and locations but do not describe feeding habits . Further research would be needed to determine its dietary preferences.",,,,1,541287D01975FFF326AAF8C0915EB58F(plazi),"Based on the provided documents, there is no specific mention of the body length of *Deutonura stachi*. The records include collection dates and locations but not morphological measurements .",,forest_wood|grassland,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,541287D01975FFF326AAF8C0915EB58F(plazi),"Based on the provided documents, Deutonura stachi has been recorded from several locations including Copanca, Cociulia, Plaiul Fagului, and others in Moldova. These sites suggest that the species inhabits areas such as forests or grasslands, but specific habitat details are not explicitly mentioned in the sources .",3,Adult,"NA|Rich hardwood, fat soil",NA,Moldova|Norway,Telemark,"47.3,28.95|59.066,9.695",NA,2011-2015,NA,Central_European_mixed_forests|NA
Dicyrtoma aurata,Dicyrtoma,Dicyrtomidae,8174,species,,,,the sources contain no explicit statement about this species' diet,1,266B5D55F727FFB5FF7EFE884506FE42(plazi),"Based on the provided documents, there is no specific information given about the diet of *Dicyrtoma aurata* . The sources mention its taxonomic classification and general distribution but do not provide details on feeding habits. Further research would be needed to determine its dietary preferences.",,,,1,266B5D55F727FFB5FF7EFE884506FE42(plazi),"Based on the provided documents, there is no specific information given about the body length of *Dicyrtoma aurata*. The sources mention its general distribution and taxonomic details but do not provide measurements or dimensions related to its body size. Therefore, the body length cannot be determined from the available data.",,,,,1,266B5D55F727FFB5FF7EFE884506FE42(plazi),"Based on the provided documents, no specific habitat details for *Dicyrtoma aurata* are mentioned. The general distribution is noted as Nearctic . Further ecological or habitat-specific information would require additional research beyond the given sources.",9,adult|NA,Birch forest|NA,Soil/litter sample|NA,Finland|Estonia,,"67.165,28.618|NA",181|NA,2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Scandinavian_and_Russian_taiga|NA
Dicyrtoma fusca,Dicyrtoma,Dicyrtomidae,1385863,species,,,,the sources contain no explicit statement about this species' diet,6,EC6387A4FFEA3733FF62A674FAC3FE6A(plazi)|721B6E0C8C26FF99FF3824D8AE7220B8(plazi)|0383FA7037728B78C66CFCB75E27FC5A(plazi)|4F034B6EFFB1357DD926FCD53F8DFA01(plazi)|03AA531A0F483527FFA85FDCFCA5A290(plazi)|03CF878BFFFDC23F21A3594BFAAEAFAB(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Dicyrtoma fusca*. The sources discuss its taxonomy, distribution, and ecological habitat but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",,,,6,721B6E0C8C26FF99FF3824D8AE7220B8(plazi)|0383FA7037728B78C66CFCB75E27FC5A(plazi)|4F034B6EFFB1357DD926FCD53F8DFA01(plazi)|EC6387A4FFEA3733FF62A674FAC3FE6A(plazi)|03AA531A0F483527FFA85FDCFCA5A290(plazi),"Based on the provided documents, there is no specific mention of the body length of *Dicyrtoma fusca*. The sources discuss its ecology, distribution, and anatomical features such as the tracheal system, but do not provide measurements related to body size .",forest_wood|grassland|leaf_litter,,direct,,6,0383FA7037728B78C66CFCB75E27FC5A(plazi)|721B6E0C8C26FF99FF3824D8AE7220B8(plazi)|03AA531A0F483527FFA85FDCFCA5A290(plazi),"Based on the provided documents, *Dicyrtoma fusca* is primarily found in moist or wet habitats such as meadows and forests . It has also been recorded in leaf litter within forest environments . The species is part of the Holarctic region, indicating its presence across various temperate regions .",30,NA|adult|Adult,"NA|Coniferous forest|Alpine|Hazel/aspen litter, sand|F9.2, Willow carr and fen scrub",Malaise Trap|Soil/litter sample|Litter from decaying birch|NA,United Kingdom|Finland|Germany|Estonia|Sweden|Norway,Vestfold|Mecklenburg-Vorpommern,"52.4758,-2.1815|67.841,26.717|68.344,27.468",NA|218|390,2013-2024,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Celtic_broadleaf_forests|Scandinavian_and_Russian_taiga|Western_European_broadleaf_forests|Sarmatic_mixed_forests|English_Lowlands_beech_forests|NA|Baltic_mixed_forests
